x_centriod,y_centroid,tl_fid,year,bldg_typ,num_floors,RMV,dpt_100y,dpt_200y,dpt_250y,dpt_500y,dpt_1000y,dpt_2500y,dpt_5000y,dpt_10000y,MF_100y,MF_200y,MF_250y,MF_500y,MF_1000y,MF_2500y,MF_5000y,MF_10000y,v_100y,v_200y,v_250y,v_500y,v_1000y,v_2500y,v_5000y,v_10000y
431532.8536,5096816.592,0,0,0,0,839493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429523.3045,5096437.438,1,0,0,0,11292,0,0,0,0,0.90562,2.18924,3.42934,4.8958,0,0,0,0,1,11.08045,21.12174,36.3737,0,0,0,0,0.89919,2.35015,2.80046,3.3503
429548.4952,5096399.88,2,1996,3,1,173384,0,0,0,0,0.9734,2.35583,3.5727,5.00561,0,0,0,0,1,12.79681,22.32687,37.90243,0,0,0,0,0.97502,2.42573,2.85895,3.35076
429740.5287,5096435.832,3,0,0,0,1094851,0,0,0,0.12367,1.70647,2.83961,4.23936,5.69796,0,0,0,0.32334,1,4.16506,11.18148,19.16703,0,0,0,0.09027,0.65932,1.49943,2.08323,2.53304
428891.3958,5096409.649,4,1936,1,1,1979606,0.63664,0.69854,1.56867,2.92222,4.61615,6.66618,7.37596,8.10087,0.81339,0.81322,1,5.06773,14.95316,37.09426,50.42698,68.63793,0.36463,0.37068,0.5074,1.45479,2.1516,2.87016,3.22636,3.44192
429085.1215,5096395.755,5,1981,2,2,2375069,0.75116,0.81038,1.55864,2.86283,4.5979,6.62389,7.4254,8.27484,0.94316,0.9431,1.30347,6.60485,29.60681,102.36397,160.05869,269.41699,0.50343,0.50345,0.69439,1.62889,2.94073,4.2012,4.74359,5.67729
429276.9443,5096378.534,6,1940,1,1,33704,0,0,0.17182,1.92452,3.68175,5.59875,6.30672,7.19002,0,0,0.42912,1.80929,7.78763,25.25135,43.39261,61.52467,0,0,0.16638,1.0739,1.8418,2.63497,3.1259,3.28426
429615.2974,5096388.234,7,0,3,1,189960,0,0,0,0.11354,1.52725,2.72749,4.15931,5.62618,0,0,0,0.09093,1,8.77845,16.37765,28.47522,0,0,0,0.02811,0.79337,2.24336,2.67618,3.19352
430276.8404,5096381.85,8,0,0,0,42223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428847.1768,5096367.161,9,0,0,0,100,1.10016,1.15912,2.09245,3.47477,5.11677,7.0758,7.84159,8.53363,1.1431,1.14318,1.29721,6.61083,16.0242,37.23392,49.684,72.63184,0.59643,0.60537,0.76342,1.64777,2.43612,3.16337,3.4724,3.62183
428959.1862,5096360.282,10,0,0,0,40,1.5,1.6,2.4079,3.8,5.5,7.6,8.36605,9.1405,2,2,3,14.17037,43.4739,106.96893,134.64182,187.12839,1.16792,1.16798,1.53181,2.62111,3.94949,4.72151,5.12061,5.82818
